Game,Team,Unnamed: 2,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Attendance
"2022-10-07 - SJ 1, NSH 4",SJ,Limited ReportFull Report,44.283333333333,39.07,50.53,43.61,30.96,30.49,50.38,21.11,22.37,48.55,1.01,2.88,26.02,1.97,2.67,42.47,16.96,30.75,35.54,8.04,13.78,36.85,4.92,8.88,35.67,0.0,0.94,0.00,0.00,89.40,8.85,17.09,34.12,5.04,7.9,38.93,1.06,1.89,35.89,21.00,76.08,23.51,23.16,50.37,9.04,5.35,62.84,0.0,0.0,-,0.00,100.00,4.79,87.15,0.919,16648
"2022-10-07 - SJ 1, NSH 4",NSH,Limited ReportFull Report,44.283333333333,50.53,39.07,56.39,30.49,30.96,49.62,22.37,21.11,51.45,2.88,1.01,73.98,2.67,1.97,57.53,30.75,16.96,64.46,13.78,8.04,63.15,8.88,4.92,64.33,0.94,0.0,100.00,10.60,100.00,17.09,8.85,65.88,7.9,5.04,61.07,1.89,1.06,64.11,23.92,79.00,23.16,23.51,49.63,5.35,9.04,37.16,0.0,0.0,-,0.00,100.00,12.85,95.21,1.081,16648
"2022-10-08 - NSH 3, SJ 2",NSH,Limited ReportFull Report,44.116666666667,39.9,35.28,53.07,25.27,22.13,53.31,14.08,17.42,44.7,3.08,0.94,76.55,1.15,1.65,41.07,18.78,18.84,49.92,5.08,8.51,37.37,3.97,6.69,37.21,2.02,0.0,100.00,50.95,100.00,13.67,10.26,57.12,5.16,2.83,64.6,1.05,0.95,52.60,20.39,66.48,26.42,23.03,53.42,3.96,7.9,33.39,0.0,0.0,-,0.00,100.00,21.87,94.58,1.165,17023
"2022-10-08 - NSH 3, SJ 2",SJ,Limited ReportFull Report,44.116666666667,35.28,39.9,46.93,22.13,25.27,46.69,17.42,14.08,55.3,0.94,3.08,23.45,1.65,1.15,58.93,18.84,18.78,50.08,8.51,5.08,62.63,6.69,3.97,62.79,0.0,2.02,0.00,0.00,49.05,10.26,13.67,42.88,2.83,5.16,35.4,0.95,1.05,47.40,33.52,79.61,23.03,26.42,46.58,7.9,3.96,66.61,0.0,0.0,-,0.00,100.00,5.42,78.13,0.835,17023
"2022-10-11 - TB 1, NYR 3",TB,Limited ReportFull Report,41.416666666667,28.41,39.09,42.08,20.27,24.94,44.83,15.23,19.82,43.45,0.0,0.99,0.00,1.54,2.17,41.43,16.69,23.41,41.62,9.59,9.56,50.06,8.43,7.63,52.49,0.0,0.99,0.00,0.00,87.03,7.13,13.92,33.88,2.06,2.94,41.17,0.0,0.0,-,0.00,100.00,11.94,18.27,39.53,3.91,9.24,29.73,0.0,0.0,-,0.00,100.00,0.0,95.01,0.95,18006
"2022-10-11 - TB 1, NYR 3",NYR,Limited ReportFull Report,41.416666666667,39.09,28.41,57.92,24.94,20.27,55.17,19.82,15.23,56.55,0.99,0.0,100.00,2.17,1.54,58.57,23.41,16.69,58.38,9.56,9.59,49.94,7.63,8.43,47.51,0.99,0.0,100.00,12.97,100.00,13.92,7.13,66.12,2.94,2.06,58.83,0.0,0.0,-,0.00,100.00,18.27,11.94,60.47,9.24,3.91,70.27,0.0,0.0,-,0.00,100.00,4.99,100.0,1.05,18006
"2022-10-11 - VGK 4, LA 3",VGK,Limited ReportFull Report,46.316666666667,70.73,41.99,62.75,51.33,35.05,59.43,44.03,23.39,65.31,3.12,2.79,52.82,3.91,2.15,64.54,51.18,20.87,71.03,22.33,11.12,66.75,20.08,9.4,68.1,1.06,2.78,27.59,5.27,70.47,28.78,9.71,74.77,10.18,2.94,77.6,2.11,0.0,100.00,20.72,100.00,23.44,32.93,41.58,11.15,10.94,50.46,0.0,0.0,-,0.00,100.00,7.1,88.06,0.952,18230
"2022-10-11 - VGK 4, LA 3",LA,Limited ReportFull Report,46.316666666667,41.99,70.73,37.25,35.05,51.33,40.57,23.39,44.03,34.69,2.79,3.12,47.18,2.15,3.91,35.46,20.87,51.18,28.97,11.12,22.33,33.25,9.4,20.08,31.9,2.78,1.06,72.41,29.53,94.73,9.71,28.78,25.23,2.94,10.18,22.4,0.0,2.11,0.00,0.00,79.28,32.93,23.44,58.42,10.94,11.15,49.54,0.0,0.0,-,0.00,100.00,11.94,92.9,1.048,18230
"2022-10-12 - BOS 5, WSH 2",BOS,Limited ReportFull Report,45.033333333333,45.7,41.75,52.26,30.78,30.59,50.15,22.97,21.78,51.33,3.2,1.87,63.15,2.28,1.76,56.50,26.69,16.13,62.34,11.23,6.22,64.35,6.74,2.7,71.38,2.15,0.0,100.00,31.96,100.00,15.73,9.71,61.83,6.44,6.4,50.15,1.04,1.99,34.33,16.14,68.94,15.43,21.36,41.94,6.62,9.92,40.02,0.0,0.0,-,0.00,100.00,13.94,91.42,1.054,18573
"2022-10-12 - BOS 5, WSH 2",WSH,Limited ReportFull Report,45.033333333333,41.75,45.7,47.74,30.59,30.78,49.85,21.78,22.97,48.67,1.87,3.2,36.85,1.76,2.28,43.50,16.13,26.69,37.66,6.22,11.23,35.65,2.7,6.74,28.62,0.0,2.15,0.00,0.00,68.04,9.71,15.73,38.17,6.4,6.44,49.85,1.99,1.04,65.67,31.06,83.86,21.36,15.43,58.06,9.92,6.62,59.98,0.0,0.0,-,0.00,100.00,8.58,86.06,0.946,18573
"2022-10-12 - CBJ 1, CAR 4",CBJ,Limited ReportFull Report,52.0,50.4,84.98,37.23,41.59,64.51,39.2,31.7,37.27,45.96,1.06,3.84,21.57,2.68,3.12,46.22,27.22,33.49,44.84,8.56,13.71,38.45,6.32,7.96,44.25,0.0,1.91,0.00,0.00,76.05,18.59,19.96,48.22,13.54,8.8,60.59,0.0,0.98,0.00,0.00,88.90,14.53,39.65,26.82,6.75,17.56,27.77,1.05,0.95,52.69,15.61,94.61,3.33,89.69,0.93,18824
"2022-10-12 - CBJ 1, CAR 4",CAR,Limited ReportFull Report,52.0,84.98,50.4,62.77,64.51,41.59,60.8,37.27,31.7,54.04,3.84,1.06,78.43,3.12,2.68,53.78,33.49,27.22,55.16,13.71,8.56,61.55,7.96,6.32,55.75,1.91,0.0,100.00,23.95,100.00,19.96,18.59,51.78,8.8,13.54,39.41,0.98,0.0,100.00,11.10,100.00,39.65,14.53,73.18,17.56,6.75,72.23,0.95,1.05,47.31,5.39,84.39,10.31,96.67,1.07,18824
"2022-10-12 - TOR 3, MTL 4",TOR,Limited ReportFull Report,44.483333333333,48.05,35.86,57.26,29.16,24.5,54.35,24.87,15.16,62.12,2.11,3.73,36.13,2.02,1.8,52.85,28.65,24.34,54.06,8.63,8.26,51.09,7.5,3.72,66.81,2.12,1.86,53.24,28.24,50.08,19.99,16.08,55.42,7.2,7.64,48.51,0.0,1.91,0.00,0.00,75.02,13.4,9.34,58.92,9.21,3.77,70.96,0.0,0.0,-,0.00,100.00,8.5,75.37,0.839,21105
"2022-10-12 - TOR 3, MTL 4",MTL,Limited ReportFull Report,44.483333333333,35.86,48.05,42.74,24.5,29.16,45.65,15.16,24.87,37.88,3.73,2.11,63.87,1.8,2.02,47.15,24.34,28.65,45.94,8.26,8.63,48.91,3.72,7.5,33.19,1.86,2.12,46.76,49.92,71.76,16.08,19.99,44.58,7.64,7.2,51.49,1.91,0.0,100.00,24.98,100.00,9.34,13.4,41.08,3.77,9.21,29.04,0.0,0.0,-,0.00,100.00,24.63,91.5,1.161,21105
"2022-10-12 - CHI 2, COL 5",CHI,Limited ReportFull Report,47.283333333333,27.87,49.89,35.84,17.81,34.1,34.31,13.23,25.87,33.84,0.0,0.94,0.00,1.72,1.55,52.70,17.34,20.26,46.12,6.87,5.85,54.01,3.85,1.95,66.33,0.0,0.0,-,0.00,100.00,10.25,14.76,40.98,6.82,4.05,62.76,0.0,0.95,0.00,0.00,76.58,10.45,24.79,29.65,2.8,17.27,13.97,0.0,0.0,-,0.00,100.00,0.0,96.35,0.964,18143
"2022-10-12 - CHI 2, COL 5",COL,Limited ReportFull Report,47.283333333333,49.89,27.87,64.16,34.1,17.81,65.69,25.87,13.23,66.16,0.94,0.0,100.00,1.55,1.72,47.30,20.26,17.34,53.88,5.85,6.87,45.99,1.95,3.85,33.67,0.0,0.0,-,0.00,100.00,14.76,10.25,59.02,4.05,6.82,37.24,0.95,0.0,100.00,23.42,100.00,24.79,10.45,70.35,17.27,2.8,86.03,0.0,0.0,-,0.00,100.00,3.65,100.0,1.036,18143
"2022-10-12 - SEA 4, ANA 5",SEA,Limited ReportFull Report,47.833333333333,57.98,32.09,64.37,48.23,22.35,68.33,37.26,18.8,66.47,1.08,1.89,36.22,3.54,1.26,73.71,31.57,20.98,60.08,15.33,6.36,70.69,14.13,3.71,79.21,1.08,0.94,53.47,7.66,74.62,16.54,14.44,53.39,8.62,7.39,53.82,0.0,1.03,0.00,0.00,86.10,24.28,9.09,72.77,14.5,5.69,71.81,0.0,0.0,-,0.00,100.00,2.89,89.92,0.928,17530
"2022-10-12 - SEA 4, ANA 5",ANA,Limited ReportFull Report,47.833333333333,32.09,57.98,35.63,22.35,48.23,31.67,18.8,37.26,33.53,1.89,1.08,63.78,1.26,3.54,26.29,20.98,31.57,39.92,6.36,15.33,29.31,3.71,14.13,20.79,0.94,1.08,46.53,25.38,92.34,14.44,16.54,46.61,7.39,8.62,46.18,1.03,0.0,100.00,13.90,100.00,9.09,24.28,27.23,5.69,14.5,28.19,0.0,0.0,-,0.00,100.00,10.08,97.11,1.072,17530
"2022-10-12 - VAN 3, EDM 5",VAN,Limited ReportFull Report,43.333333333333,47.5,36.59,56.49,36.28,22.85,61.35,27.35,17.47,61.02,2.13,0.94,69.33,2.18,1.56,58.30,19.94,18.11,52.4,6.69,5.41,55.3,2.19,4.56,32.4,1.06,0.94,52.92,48.43,79.35,13.43,12.59,51.62,6.61,7.43,47.07,0.0,0.0,-,0.00,100.00,25.16,16.82,59.93,18.56,4.52,80.42,1.11,0.0,100.00,5.99,100.00,7.8,94.6,1.024,18347
"2022-10-12 - VAN 3, EDM 5",EDM,Limited ReportFull Report,43.333333333333,36.59,47.5,43.51,22.85,36.28,38.65,17.47,27.35,38.98,0.94,2.13,30.67,1.56,2.18,41.70,18.11,19.94,47.6,5.41,6.69,44.7,4.56,2.19,67.6,0.94,1.06,47.08,20.65,51.57,12.59,13.43,48.38,7.43,6.61,52.93,0.0,0.0,-,0.00,100.00,16.82,25.16,40.07,4.52,18.56,19.58,0.0,1.11,0.00,0.00,94.01,5.4,92.2,0.976,18347
"2022-10-13 - ARI 2, PIT 6",ARI,Limited ReportFull Report,43.6,30.99,56.07,35.6,20.0,48.76,29.09,17.37,39.91,30.32,0.0,3.91,0.00,0.97,3.34,22.56,12.35,35.56,25.77,3.95,15.32,20.48,3.89,14.49,21.17,0.0,2.88,0.00,0.00,80.10,8.12,20.56,28.32,6.64,11.47,36.67,0.0,0.0,-,0.00,100.00,16.44,16.65,49.68,5.9,12.57,31.93,0.0,1.06,0.00,0.00,91.56,0.0,90.19,0.902,18355
"2022-10-13 - ARI 2, PIT 6",PIT,Limited ReportFull Report,43.6,56.07,30.99,64.4,48.76,20.0,70.91,39.91,17.37,69.68,3.91,0.0,100.00,3.34,0.97,77.44,35.56,12.35,74.23,15.32,3.95,79.52,14.49,3.89,78.83,2.88,0.0,100.00,19.90,100.00,20.56,8.12,71.68,11.47,6.64,63.33,0.0,0.0,-,0.00,100.00,16.65,16.44,50.32,12.57,5.9,68.07,1.06,0.0,100.00,8.44,100.00,9.81,100.0,1.098,18355
"2022-10-13 - NJ 2, PHI 5",NJ,Limited ReportFull Report,44.433333333333,61.01,28.54,68.13,40.45,23.09,63.66,28.94,17.08,62.89,1.0,2.86,26.02,2.16,1.24,63.57,31.93,12.73,71.5,10.98,3.71,74.74,6.88,3.74,64.75,0.0,0.92,0.00,0.00,75.49,20.68,9.16,69.29,7.0,8.06,46.48,1.0,1.89,34.55,14.25,76.57,43.4,20.23,68.21,11.09,4.0,73.48,0.0,0.0,-,0.00,100.00,3.47,83.28,0.867,19107
"2022-10-13 - NJ 2, PHI 5",PHI,Limited ReportFull Report,44.433333333333,28.54,61.01,31.87,23.09,40.45,36.34,17.08,28.94,37.11,2.86,1.0,73.98,1.24,2.16,36.43,12.73,31.93,28.5,3.71,10.98,25.26,3.74,6.88,35.25,0.92,0.0,100.00,24.51,100.00,9.16,20.68,30.71,8.06,7.0,53.52,1.89,1.0,65.45,23.43,85.75,20.23,43.4,31.79,4.0,11.09,26.52,0.0,0.0,-,0.00,100.00,16.72,96.53,1.133,19107
"2022-10-13 - OTT 1, BUF 4",OTT,Limited ReportFull Report,43.9,40.21,39.54,50.42,32.63,32.74,49.91,29.51,25.76,53.39,1.06,1.87,36.13,1.83,1.5,54.88,18.51,17.11,51.97,11.56,7.45,60.82,9.48,4.61,67.27,0.0,1.86,0.00,0.00,59.68,6.95,9.66,41.84,4.04,4.87,45.35,1.05,0.0,100.00,26.06,100.00,20.1,20.41,49.61,15.1,14.61,50.82,0.0,0.0,-,0.00,100.00,3.58,92.75,0.963,15364
"2022-10-13 - OTT 1, BUF 4",BUF,Limited ReportFull Report,43.9,39.54,40.21,49.58,32.74,32.63,50.09,25.76,29.51,46.61,1.87,1.06,63.87,1.5,1.83,45.12,17.11,18.51,48.03,7.45,11.56,39.18,4.61,9.48,32.73,1.86,0.0,100.00,40.32,100.00,9.66,6.95,58.16,4.87,4.04,54.65,0.0,1.05,0.00,0.00,73.94,20.41,20.1,50.39,14.61,15.1,49.18,0.0,0.0,-,0.00,100.00,7.25,96.42,1.037,15364
"2022-10-13 - FLA 3, NYI 1",FLA,Limited ReportFull Report,41.183333333333,44.26,38.61,53.41,27.44,29.34,48.33,19.98,18.14,52.41,2.11,0.0,100.00,2.01,2.19,47.92,25.45,20.54,55.34,10.86,11.89,47.73,6.5,6.5,50.0,1.06,0.0,100.00,16.28,100.00,14.57,8.52,63.09,5.19,4.81,51.86,1.05,0.0,100.00,20.28,100.00,16.89,14.22,54.29,8.37,6.73,55.45,0.0,0.0,-,0.00,100.00,10.57,100.0,1.106,17255
"2022-10-13 - FLA 3, NYI 1",NYI,Limited ReportFull Report,41.183333333333,38.61,44.26,46.59,29.34,27.44,51.67,18.14,19.98,47.59,0.0,2.11,0.00,2.19,2.01,52.08,20.54,25.45,44.66,11.89,10.86,52.27,6.5,6.5,50.0,0.0,1.06,0.00,0.00,83.72,8.52,14.57,36.91,4.81,5.19,48.14,0.0,1.05,0.00,0.00,79.72,14.22,16.89,45.71,6.73,8.37,44.55,0.0,0.0,-,0.00,100.00,0.0,89.43,0.894,17255
"2022-10-13 - WSH 2, TOR 3",WSH,Limited ReportFull Report,44.416666666667,43.38,40.61,51.65,32.83,33.88,49.21,19.48,28.11,40.93,2.07,1.87,52.55,1.66,2.08,44.39,20.83,23.77,46.7,7.55,8.56,46.87,4.21,6.69,38.63,0.0,1.86,0.00,0.00,72.21,13.21,15.23,46.45,6.21,8.75,41.49,2.11,0.0,100.00,34.00,100.00,20.69,14.4,58.97,8.02,10.41,43.51,0.0,0.0,-,0.00,100.00,10.62,93.36,1.04,18914
"2022-10-13 - WSH 2, TOR 3",TOR,Limited ReportFull Report,44.416666666667,40.61,43.38,48.35,33.88,32.83,50.79,28.11,19.48,59.07,1.87,2.07,47.45,2.08,1.66,55.61,23.77,20.83,53.3,8.56,7.55,53.13,6.69,4.21,61.37,1.86,0.0,100.00,27.79,100.00,15.23,13.21,53.55,8.75,6.21,58.51,0.0,2.11,0.00,0.00,66.00,14.4,20.69,41.03,10.41,8.02,56.49,0.0,0.0,-,0.00,100.00,6.64,89.38,0.96,18914
"2022-10-13 - DAL 4, NSH 1",DAL,Limited ReportFull Report,44.2,37.89,33.41,53.14,29.35,23.48,55.55,21.26,17.57,54.76,2.11,0.92,69.66,1.8,1.05,63.11,22.71,15.82,58.94,9.07,5.35,62.93,7.9,2.68,74.65,2.13,0.0,100.00,26.96,100.00,13.9,10.26,57.54,7.7,5.42,58.68,0.0,0.96,0.00,0.00,82.30,13.61,15.26,47.15,5.6,7.61,42.38,0.0,0.0,-,0.00,100.00,9.9,94.78,1.047,17692
"2022-10-13 - DAL 4, NSH 1",NSH,Limited ReportFull Report,44.2,33.41,37.89,46.86,23.48,29.35,44.45,17.57,21.26,45.24,0.92,2.11,30.34,1.05,1.8,36.89,15.82,22.71,41.06,5.35,9.07,37.07,2.68,7.9,25.35,0.0,2.13,0.00,0.00,73.04,10.26,13.9,42.46,5.42,7.7,41.32,0.96,0.0,100.00,17.70,100.00,15.26,13.61,52.85,7.61,5.6,57.62,0.0,0.0,-,0.00,100.00,5.22,90.1,0.953,17692
